"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.704081632653061","0.13703625780208992","0.21258134490238612","0.23809523809523808","7","9","false","CXCL9","3.2857142857142856","0","7","0","0.880513495720869","false","0","CXCL9","5424","0.3"
"4.040816326530612","0.086296374219791","0.2474747474747475","0.5","5","8","false","CXCL12","5.8","0","5","0","0.9019091507570771","false","0","CXCL12","3704","0.3625"
"4.938775510204081","0.0","0.20247933884297523","1.0","2","9","false","CXCL14","6.0","0","2","0","0.8729427254772877","false","0","CXCL14","0","0.75"
"4.8061224489795915","0.0","0.208067940552017","1.0","2","9","false","IL1RN","7.5","0","2","0","0.8772218564845292","false","0","IL1RN","0","0.6818181818181818"
"4.051020408163265","0.09920050494424573","0.24685138539042822","0.2","6","8","false","FOS","4.333333333333333","0","6","0","0.9015799868334431","false","0","FOS","2084","0.24509803921568626"
"4.795918367346939","0.0978329476120345","0.20851063829787234","0.3333333333333333","3","9","false","S100A12","4.666666666666667","0","3","0","0.8775510204081632","false","0","S100A12","2040","0.3939393939393939"
"5.6938775510204085","0.0","0.17562724014336917","0.0","1","10","false","IDO1","7.0","0","1","0","0.848584595128374","false","0","IDO1","0","0.0"
"5.591836734693878","0.0978329476120345","0.17883211678832114","0.0","2","10","false","UBD","5.5","0","2","0","0.8518762343647136","false","0","UBD","3860","0.5"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","CYP2C18","2.0","0","1","0","0.75","false","0","CYP2C18","0","0.0"
"1.0","1.0","1.0","0.0","2","1","false","GSTA4","1.0","0","2","0","1.0","false","0","GSTA4","2","0.0"
"4.918367346938775","3.023988191250972E-4","0.2033195020746888","0.6785714285714286","8","10","false","GINS2","16.25","0","8","0","0.8736010533245556","false","0","GINS2","22","0.5241935483870968"
"3.3877551020408165","0.2074479276246581","0.29518072289156627","0.6666666666666666","4","8","false","DSC2","6.75","0","4","0","0.9229756418696511","false","0","DSC2","11088","0.39705882352941174"
"3.826530612244898","0.2965713384028132","0.26133333333333336","0.38181818181818183","11","9","false","DSG3","8.181818181818182","0","11","0","0.9088215931533904","false","0","DSG3","14754","0.3146853146853147"
"3.3877551020408165","0.2074479276246581","0.29518072289156627","0.6666666666666666","4","8","false","DSG2","6.75","0","4","0","0.9229756418696511","false","0","DSG2","11088","0.39705882352941174"
"3.9285714285714284","0.1049232063959605","0.2545454545454546","0.47619047619047616","7","9","false","PPL","9.0","0","7","0","0.9055299539170507","false","0","PPL","7146","0.42857142857142855"
"4.63265306122449","0.011245028202739121","0.2158590308370044","0.5","5","10","false","KRT14","9.4","0","5","0","0.8828176431863068","false","0","KRT14","460","0.44761904761904764"
"4.642857142857143","0.007975664492601163","0.21538461538461537","0.7","5","10","false","KRT1","9.8","0","5","0","0.8824884792626728","false","0","KRT1","702","0.49"
"4.673469387755102","0.009443659643533407","0.21397379912663758","0.5","4","10","false","KRT6B","7.5","0","4","0","0.8815009874917709","false","0","KRT6B","402","0.4166666666666667"
"5.030612244897959","0.0","0.19878296146044624","1.0","2","9","false","DUSP1","4.5","0","2","0","0.8699802501645819","false","0","DUSP1","0","0.75"
"5.020408163265306","1.0519671786240269E-4","0.1991869918699187","0.6666666666666666","3","9","false","FOSB","3.3333333333333335","0","3","0","0.8703094140882159","false","0","FOSB","2","0.5555555555555556"
"5.030612244897959","0.0","0.19878296146044624","1.0","2","9","false","EGR3","4.5","0","2","0","0.8699802501645819","false","0","EGR3","0","0.75"
"2.0","0.0","0.5","0.0","1","3","false","ENO2","3.0","0","1","0","0.6666666666666666","false","0","ENO2","0","0.0"
"1.25","0.5","0.8","0.3333333333333333","3","2","false","KRT19","2.0","0","3","0","0.9166666666666666","false","0","KRT19","6","0.5555555555555556"
"1.5","0.0","0.6666666666666666","1.0","2","2","false","EPCAM","3.0","0","2","0","0.8333333333333334","false","0","EPCAM","0","0.75"
"1.25","0.5","0.8","0.3333333333333333","3","2","false","MUC1","2.0","0","3","0","0.9166666666666666","false","0","MUC1","6","0.5555555555555556"
"4.3061224489795915","0.02040816326530612","0.23222748815165878","0.0","2","8","false","PLAT","5.0","0","2","0","0.8933508887425937","false","0","PLAT","432","0.5"
"4.295918367346939","0.02040816326530612","0.2327790973871734","0.3333333333333333","3","8","false","MMP7","4.0","0","3","0","0.8936800526662277","false","0","MMP7","432","0.4074074074074074"
"4.3061224489795915","0.0","0.23222748815165878","1.0","2","8","false","MMP12","6.0","0","2","0","0.8933508887425937","false","0","MMP12","0","0.6"
"4.326530612244898","0.0","0.2311320754716981","0.0","1","8","false","IGFBP3","9.0","0","1","0","0.8926925608953259","false","0","IGFBP3","0","0.0"
"5.020408163265306","0.02040816326530612","0.1991869918699187","0.0","2","9","false","KLF4","3.5","0","2","0","0.8703094140882159","false","0","KLF4","422","0.5"
"1.0","0.0","1.0","0.0","1","1","false","GATM","1.0","0","1","0","1.0","false","0","GATM","0","0.0"
